番号,質問,回答,正解数,総試行回数,習熟度スコア
1,日本,東京,0,0,0.0
2,アメリカ,ワシントンD.C.,0,0,0.0
3,中国,北京,0,0,0.0
4,韓国,ソウル,0,0,0.0
5,イギリス,ロンドン,0,0,0.0
6,フランス,パリ,0,0,0.0
7,ドイツ,ベルリン,0,0,0.0
8,イタリア,ローマ,0,0,0.0
9,スペイン,マドリード,0,0,0.0
10,ロシア,モスクワ,0,0,0.0
11,カナダ,オタワ,0,0,0.0
12,ブラジル,ブラジリア,0,0,0.0
13,アルゼンチン,ブエノスアイレス,0,0,0.0
14,オーストラリア,キャンベラ,0,0,0.0
15,インド,ニューデリー,0,0,0.0
16,タイ,バンコク,0,0,0.0
17,シンガポール,シンガポール,0,0,0.0
18,マレーシア,クアラルンプール,0,0,0.0
19,インドネシア,ジャカルタ,0,0,0.0
20,フィリピン,マニラ,0,0,0.0
21,ベトナム,ハノイ,0,0,0.0
22,ミャンマー,ネピドー,0,0,0.0
23,カンボジア,プノンペン,0,0,0.0
24,ラオス,ビエンチャン,0,0,0.0
25,バングラデシュ,ダッカ,0,0,0.0
26,パキスタン,イスラマバード,0,0,0.0
27,アフガニスタン,カブール,0,0,0.0
28,イラン,テヘラン,0,0,0.0
29,イラク,バグダード,0,0,0.0
30,トルコ,アンカラ,0,0,0.0
31,サウジアラビア,リヤド,0,0,0.0
32,イスラエル,エルサレム,0,0,0.0
33,エジプト,カイロ,0,0,0.0
34,南アフリカ,プレトリア,0,0,0.0
35,ナイジェリア,アブジャ,0,0,0.0
36,ケニア,ナイロビ,0,0,0.0
37,エチオピア,アディスアベバ,0,0,0.0
38,モロッコ,ラバト,0,0,0.0
39,アルジェリア,アルジェ,0,0,0.0
40,リビア,トリポリ,0,0,0.0
41,スーダン,ハルツーム,0,0,0.0
42,ガーナ,アクラ,0,0,0.0
43,セネガル,ダカール,0,0,0.0
44,ノルウェー,オスロ,0,0,0.0
45,スウェーデン,ストックホルム,0,0,0.0
46,フィンランド,ヘルシンキ,0,0,0.0
47,デンマーク,コペンハーゲン,0,0,0.0
48,オランダ,アムステルダム,0,0,0.0
49,ベルギー,ブリュッセル,0,0,0.0
50,スイス,ベルン,0,0,0.0
51,オーストリア,ウィーン,0,0,0.0
52,ポーランド,ワルシャワ,0,0,0.0
53,チェコ,プラハ,0,0,0.0
54,ハンガリー,ブダペスト,0,0,0.0
55,ルーマニア,ブカレスト,0,0,0.0
56,ブルガリア,ソフィア,0,0,0.0
57,ギリシャ,アテネ,0,0,0.0
58,クロアチア,ザグレブ,0,0,0.0
59,セルビア,ベオグラード,0,0,0.0
60,ウクライナ,キーウ,0,0,0.0
61,ベラルーシ,ミンスク,0,0,0.0
62,リトアニア,ビリニュス,0,0,0.0
63,ラトビア,リガ,0,0,0.0
64,エストニア,タリン,0,0,0.0
65,アイスランド,レイキャビク,0,0,0.0
66,アイルランド,ダブリン,0,0,0.0
67,ポルトガル,リスボン,0,0,0.0
68,モナコ,モナコ,0,0,0.0
69,バチカン,バチカン,0,0,0.0
70,サンマリノ,サンマリノ,0,0,0.0
71,マルタ,バレッタ,0,0,0.0
72,キプロス,ニコシア,0,0,0.0
73,ジョージア,トビリシ,0,0,0.0
74,アルメニア,エレバン,0,0,0.0
75,アゼルバイジャン,バクー,0,0,0.0
76,カザフスタン,ヌルスルタン,0,0,0.0
77,ウズベキスタン,タシケント,0,0,0.0
78,トルクメニスタン,アシガバート,0,0,0.0
79,キルギス,ビシュケク,0,0,0.0
80,タジキスタン,ドゥシャンベ,0,0,0.0
81,モンゴル,ウランバートル,0,0,0.0
82,ネパール,カトマンズ,0,0,0.0
83,ブータン,ティンプー,0,0,0.0
84,スリランカ,スリジャヤワルダナプラコッテ,0,0,0.0
85,モルディブ,マレ,0,0,0.0
86,北朝鮮,平壌,0,0,0.0
87,台湾,台北,0,0,0.0
88,ブルネイ,バンダルスリブガワン,0,0,0.0
89,東ティモール,ディリ,0,0,0.0
90,パプアニューギニア,ポートモレスビー,0,0,0.0
91,フィジー,スバ,0,0,0.0
92,ニュージーランド,ウェリントン,0,0,0.0
93,チリ,サンティアゴ,0,0,0.0
94,ペルー,リマ,0,0,0.0
95,エクアドル,キト,0,0,0.0
96,コロンビア,ボゴタ,0,0,0.0
97,ベネズエラ,カラカス,0,0,0.0
98,ガイアナ,ジョージタウン,0,0,0.0
99,スリナム,パラマリボ,0,0,0.0
100,ウルグアイ,モンテビデオ,0,0,0.0
101,パラグアイ,アスンシオン,0,0,0.0
102,ボリビア,スクレ,0,0,0.0
103,メキシコ,メキシコシティ,0,0,0.0
104,グアテマラ,グアテマラシティ,0,0,0.0
105,ベリーズ,ベルモパン,0,0,0.0
106,ホンジュラス,テグシガルパ,0,0,0.0
107,エルサルバドル,サンサルバドル,0,0,0.0
108,ニカラグア,マナグア,0,0,0.0
109,コスタリカ,サンホセ,0,0,0.0
110,パナマ,パナマシティ,0,0,0.0
